"","Name","FIDE.ID","Born","Birthplace","Died","Title.Year","Federation","Sex","Notes"
"59","Anić, Darko",602612,"1957-04-30","Zadar","",1999,"France","M","FIDE Golden Book; Di Felice"
"60","Anisimov, Pavel",4135229,"1986-04-19","Leningrad","",2019,"Russia","M","title application"
"61","Anka, Emil",700754,"1969-01-20","Békéscsaba","",2001,"Hungary","M","Di Felice"
"62","Annageldyev, Orazly",14000016,"1960-03-20","Bezmein","",2005,"Turkmenistan","M","Di Felice; title application"
"63","Annakov, Babakuli",14000032,"1972-05-29","","",1998,"Turkmenistan","M","Di Felice; currently United States"
"64","Antal, Gergely",717312,"1985-03-20","","",2011,"Hungary","M","Di Felice; title application"
"65","Antić, Dejan",901008,"1968-12-09","Belgrade","",1999,"Yugoslavia","M","Di Felice; currently Serbia"
"66","Antipov, Mikhail",4107012,"1997-06-10","Moscow","",2013,"Russia","M","Di Felice; title application"
"67","Antón Guijarro, David",2285525,"1995-06-23","Murcia","",2013,"Spain","M","Di Felice; title application; title application"
"68","Antoniewski, Rafał",1111078,"1980-12-03","Bielsko-Biała","",2010,"Poland","M","Di Felice; title application"
"69","Antonio, Rogelio Jr.",5200032,"1962-02-19","","",1993,"Philippines","M","Di Felice"
"70","Antoshin, Vladimir",NA,"1929-05-14","Moscow","1994-05-13",1964,"Russia","M","Di Felice"
"71","Antunes, Antônio",1900013,"1962-02-06","Lisbon","",1994,"Portugal","M","Di Felice"
"72","Apicella, Manuel",600164,"1970-04-19","Longjumeau","",1995,"France","M","Di Felice"
"73","Appel, Ralf",4600924,"1971-07-18","Pirmasens","",2008,"Germany","M","Di Felice; title application"
"74","Arakhamia-Grant, Ketevan",13600168,"1968-07-19","Ochamchira","",2009,"Scotland","F","Di Felice; title application"
"75","Aravindh Chithambaram",5072786,"1999-09-11","Thirunagar","",2015,"India","M","Di Felice"
"76","Arbakov, Valentin",4100620,"1952-01-28","","2003-11-30",1994,"Russia","M","Di Felice"
"77","Ardiansyah",7100027,"1951-12-05","Banjarmasin","2017-10-28",1986,"Indonesia","M","Di Felice; FIDE Golden Book; in some sources ""Ardiansyah, H"" or ""Adiansyah, Hasan"""
"78","Arenas, David",4403177,"1991-12-24","","",2017,"Colombia","M","title application"
"79","Arencibia Rodríguez, Walter",3500012,"1967-07-21","Holguín","",1990,"Cuba","M","Di Felice"
"80","Areshchenko, Alexander",14109530,"1986-06-15","Luhansk","",2002,"Ukraine","M","Di Felice"
"81","Arizmendi Martínez, Julen Luís",2205092,"1976-07-05","Weekawken","",2004,"Spain","M","Di Felice; title application"
"82","Arkell, Keith C.",400270,"1961-01-08","Birmingham","",1995,"England","M","Di Felice"
"83","Arkhipov, Sergey",4101146,"1954-06-23","Moscow","",1991,"Russia","M","Di Felice"
"84","Árnason, Jón L.",2300036,"1960-11-13","Reykjavík","",1986,"Iceland","M","Di Felice"
"85","Arnaudov, G. Petar",2907127,"1986-08-08","Plovdiv","",2013,"Bulgaria","M","Di Felice; title application"
"86","Arnold, Marc",2022320,"1992-11-20","New York City","",2012,"United States","M","Di Felice; title application"
"87","Aronian, Levon",13300474,"1982-10-06","Yerevan","",2000,"Armenia","M","Di Felice; later Germany; currently Armenia"
"88","Aroshidze, Levan",13601865,"1985-07-09","Tbilisi","",2006,"Georgia","M","Di Felice; title application; currently Spain"
"89","Arribas Lopez, Angel",2283352,"1993-11-27","Madrid","",2014,"Spain","M","Di Felice; title application"
"90","Artemiev, Vladislav",24101605,"1998-03-05","Omsk","",2014,"Russia","M","Di Felice; title application"
"91","Arun Prasad, S.",5011167,"1988-04-21","Salem","",2008,"India","M","Di Felice; title application"
"92","Arutinian, David",13601741,"1984-05-31","Tbilisi","",2006,"Georgia","M","Di Felice; title application"
"93","Aryan Chopra",5084423,"2001-12-10","Delhi","",2017,"India","M","title application"
"94","Arzumanian, Georgy",13300660,"1980-08-16","Tbilisi","",2009,"Armenia","M","Di Felice; title application"
"95","Asadli, Vugar",13405764,"2001-10-09","Baku","",2019,"Azerbaijan","M","Di Felice; title application"
"96","Asanov, Bolat",13700049,"1961-05-07","Alma-Ata","",1994,"Kazakhstan","M","Di Felice"
"97","Aseev, Konstantin",4100247,"1960-10-20","Novokuznetsk","2004-08-22",1992,"Russia","M","Di Felice"
"98","Ashley, Maurice",2001012,"1966-03-06","Saint Andrew","",2000,"United States","M","Di Felice"
"99","Asis Gargatagli, Hipolito",2260735,"1986-08-17","Barcelona","",2019,"Spain","M","title application"
"100","Askarov, Marat",4141229,"1987-06-29","Kazan","",2008,"Russia","M","Di Felice; title application"
"101","Asrian, Karen",13300490,"1980-04-24","Yerevan","2008-06-09",1998,"Armenia","M","Di Felice"
"102","Atabayev, Maksat",14001101,"1994-12-28","Gypjak","",2015,"Turkmenistan","M","Di Felice; title application"
"103","Atalık, Suat",14401487,"1964-10-10","Istanbul","",1994,"Turkey","M","Di Felice; later Bosnia and Herzegovina; currently Serbia"
"104","Averbakh, Yuri L.",4101529,"1922-02-08","Kaluga","",1952,"Soviet Union","M","Gaige; currently Russia"
"105","Aveskulov, Valeriy",14109743,"1986-01-31","Antratsyt","",2006,"Ukraine","M","Di Felice; title application"
"106","Avrukh, Boris",2803895,"1978-02-10","Karaganda","",1997,"Israel","M","Di Felice"
"107","Azarov, Sergei",13501470,"1983-05-19","Minsk","",2003,"Belarus","M","Di Felice; title application"
"108","Azmaipara­shvili, Zurab",13601326,"1960-03-16","Tbilisi","",1988,"Soviet Union","M","Di Felice; currently Georgia"
"109","Babaev, Rashad",13400681,"1981-09-03","Baku","",2007,"Azerbaijan","M","Di Felice"
"110","Babujian, Levon",13301993,"1986-05-08","Yerevan","",2010,"Armenia","M","Di Felice; title application"
"111","Babula, Vlastimil",301264,"1973-10-02","Uherský Brod","",1997,"Czech Republic","M","Di Felice"
"112","Baburin, Alexander",2500914,"1967-02-19","Nizhny Novgorod","",1996,"Israel","M","Di Felice"
"113","Bacallao Alonso, Yusnel",3507416,"1988-06-21","Matanzas","",2012,"Cuba","M","Di Felice; title application"
"114","Bachmann, Axel",3700488,"1989-11-04","Ciudad del Este","",2007,"Paraguay","M","Di Felice; title application"
"115","Bacrot, Étienne",605506,"1983-01-22","Lille","",1997,"France","M","Di Felice"
"116","Badea, Bela",1200038,"1969-02-21","Aiud","",1999,"Romania","M","Di Felice"
"117","Bagaturov, Giorgi",13600133,"1964-11-28","","",1999,"Georgia","M","Di Felice"
"118","Baghdasaryan, Vahe",13303139,"1993-03-20","Yerevan","",2017,"Armenia","M","Di Felice; title application"
"119","Bagheri, Amir",12500283,"1978-09-20","","",2003,"Iran","M","Di Felice; later France; currently Iran"
"120","Bagirov, Rufat",13400401,"1979-10-10","","",2002,"Azerbaijan","M","Di Felice"
"121","Bagirov, Vladimir",11600063,"1936-08-16","Batumi","2000-07-21",1978,"Soviet Union","M","Di Felice; later Latvia"
"122","Bagrationi, Alexander",14104954,"1990-07-13","","",2014,"Ukraine","M","Di Felice; title application; currently Israel"
"123","Bai Jinshi",8602280,"1999-05-18","Jilin","",2015,"China","M","Di Felice; title application"
"124","Bajarani, Ulvi",13403028,"1995-01-27","Baku","",2013,"Azerbaijan","M","Di Felice; title application"
"125","Baklan, Vladimir",14102196,"1978-02-25","Kyiv","",1998,"Ukraine","M","Di Felice"
"126","Bakre, Tejas",5004195,"1981-05-12","","",2004,"India","M","Di Felice"
"127","Balashov, Yuri S.",4100263,"1949-03-12","Shadrinsk","",1973,"Soviet Union","M","Di Felice; currently Russia"
"128","Baldauf, Marco",4688210,"1990-04-16","Rosenheim","",2019,"Germany","M","title application"
"129","Balinas, Rosendo Jr.",5200075,"1941-09-10","Manila","1998-09-24",1976,"Philippines","M","Di Felice"
"130","Balinov, Ilia",1610201,"1966-07-28","Batak","",1999,"Austria","M","Di Felice"
"131","Balog, Imre",728446,"1991-10-28","Békéscsaba","",2011,"Hungary","M","Di Felice; title application"
"132","Balogh, Csaba",718939,"1987-03-10","Budapest","",2004,"Hungary","M","Di Felice"
"133","Banikas, Hristos",4202031,"1978-05-20","Thessaloniki","",2001,"Greece","M","Di Felice"
"134","Bánusz, Tamás",722413,"1989-04-08","Mohács","",2011,"Hungary","M","Di Felice; title application"
"135","Baramidze, David",4667719,"1988-09-27","Tbilisi","",2004,"Germany","M","Di Felice"
"136","Barbero, Gerardo",100048,"1961-08-21","Lanús","2001-03-04",1987,"Argentina","M","Di Felice"
"137","Barbosa, Evandro Amorim",2115824,"1992-08-24","São Sebastião do Paraíso","",2016,"Brazil","M","Di Felice; title application"
"138","Barbosa, Oliver",5201640,"1986-09-29","Pasig","",2011,"Philippines","M","Di Felice; title application"
"139","Barcenilla, Rogelio",5200059,"1972-01-23","Bacolod","",2010,"Philippines","M","Di Felice; title application"
